=0,000000000000000000*10^(+00)
=-1,942588316320824904*10^(-01)
=-1,952618536412042138*10^(-01)
=-1,962401257818320588*10^(-01)
=-1,974514193077693269*10^(-01)
=-1,985609107327170053*10^(-01)
=-1,995424171654741619*10^(-01)
=-2,009388487345222241*10^(-01)
=-2,019485967716932173*10^(-01)
=-2,028815777132617071*10^(-01)
=-2,039711567766165079*10^(-01)
=-2,051658690190771017*10^(-01)
=-2,063099744015614301*10^(-01)
=-2,074553902606384448*10^(-01)
=-2,087585937187250995*10^(-01)
=-2,097501654410201810*10^(-01)
=-2,111086483292865246*10^(-01)
=-2,121548924088207944*10^(-01)
