t (s),V (mV)
0,4.7845
1.049,4.765
2.099,4.7607
3.15,4.7769
4.164,4.8041
5.164,4.7675
6.164,4.7415
7.165,4.731
8.183,4.7243
9.165,4.7194
10.176,4.7181
11.165,4.7106
12.164,4.7065
13.164,4.7024
14.164,4.6983
15.164,4.6942
16.164,4.6899
17.164,4.686
18.164,4.6826
19.164,4.6779
20.165,4.6727
21.164,4.669
22.164,4.6652
23.164,4.6604
24.165,4.6554
25.164,4.6514
26.164,4.6468
27.164,4.6418
28.165,4.637
29.164,4.6315
30.164,4.6263
31.164,4.6219
32.164,4.6166
33.165,4.6116
34.164,4.6064
35.164,4.6017
36.164,4.5967
37.164,4.592
38.164,4.5867
39.164,4.5813
40.164,4.5759
41.164,4.5717
42.164,4.5665
43.164,4.5613
44.164,4.5562
45.165,4.551
46.164,4.5451
47.164,4.5407
48.164,4.5359
49.164,4.5311
50.164,4.5261
51.164,4.5207
52.164,4.5152
53.164,4.5102
54.164,4.5053
55.164,4.5005
56.164,4.4954
57.164,4.4905
58.164,4.4851
59.164,4.4804
60.164,4.4755
61.164,4.4708
62.164,4.4657
63.164,4.4608
64.164,4.4561
65.164,4.452
66.165,4.4498
67.164,4.4476
68.164,4.4406
69.164,4.4345
70.164,4.4275
71.165,4.4211
72.164,4.4163
73.164,4.411
74.164,4.4062
75.164,4.4004
76.164,4.3953
77.164,4.3907
78.164,4.3866
79.165,4.3805
80.165,4.3758
81.164,4.3712
82.164,4.3663
83.164,4.3609
84.164,4.3566
85.164,4.3508
86.164,4.3459
87.164,4.3408
88.164,4.3362
89.164,4.3313
90.164,4.3264
91.165,4.3213
92.165,4.3171
93.164,4.3121
94.164,4.307
95.164,4.3025
96.164,4.2982
97.164,4.2927
98.164,4.2882
99.164,4.2835
100.164,4.2792
101.164,4.274
102.164,4.2693
103.164,4.2643
104.164,4.2596
105.164,4.2548
106.164,4.2498
107.165,4.2452
108.164,4.2399
109.164,4.2359
110.164,4.231
111.164,4.226
112.164,4.2219
113.164,4.2176
114.164,4.2133
115.164,4.2084
116.164,4.2034
117.164,4.1988
118.164,4.1941
119.164,4.189
120.164,4.1848
121.164,4.1807
122.165,4.1752
123.164,4.1709
124.164,4.1661
125.164,4.1623
126.164,4.1578
127.164,4.1537
128.164,4.1498
129.164,4.1451
130.164,4.14
131.164,4.136
132.164,4.1312
133.165,4.126
134.164,4.122
135.164,4.1177
136.164,4.1132
137.164,4.1086
138.164,4.104
139.164,4.0997
140.164,4.0952
141.164,4.0908
142.164,4.0855
143.164,4.0808
144.164,4.077
145.164,4.0725
146.164,4.0679
147.164,4.0644
148.164,4.0602
149.164,4.0549
150.164,4.0496
151.164,4.0451
152.164,4.0405
153.164,4.0365
154.164,4.0317
155.164,4.027
156.181,4.0202
157.164,4.0178
158.164,4.0143
159.164,4.0094
160.164,4.0042
161.164,3.9991
162.164,3.9944
163.166,3.9913
164.164,3.9843
165.164,3.98
166.164,3.9752
167.164,3.9713
168.164,3.9661
169.164,3.9613
170.165,3.9566
171.165,3.952
172.165,3.9476
173.164,3.9435
174.164,3.9386
175.164,3.9335
176.164,3.9293
177.165,3.925
178.165,3.9203
179.165,3.9163
180.165,3.9115
181.165,3.9074
182.165,3.9035
183.164,3.899
184.164,3.895
185.164,3.8902
186.164,3.8863
187.164,3.8825
188.164,3.8778
189.164,3.8735
190.164,3.8697
191.165,3.8643
192.164,3.8604
193.165,3.8568
194.164,3.8526
195.164,3.848
196.164,3.8436
197.164,3.8392
198.164,3.8342
199.164,3.8304
200.165,3.8252
201.165,3.8212
