910,1000,1100,1200,1300,1400,1500,1600,1700,1800
1.605,1.976,2.359,2.916,3.390,3.892,5.374,5.824,7.531,8.618
0.507,0.547,0.587,0.640,0.684,0.729,0.849,0.882,1,1.073
